group,value,row_id
A,-0.325226,A000
A,-1.306273,A001
A,0.002647,A002
A,1.193117,A003
A,0.285702,A004
A,0.895229,A005
A,-0.169132,A006
A,0.148978,A007
A,-0.272464,A008
A,-0.098057,A009
A,-0.011377,A010
A,-0.169843,A011
A,0.15562,A012
A,0.519233,A013
A,-0.54746,A014
A,-0.920626,A015
A,-0.11261,A016
A,-0.280054,A017
A,0.346151,A018
A,-0.400983,A019
A,0.151588,A020
A,0.036651,A021
A,0.149427,A022
A,-0.566553,A023
A,0.607303,A024
A,-0.437503,A025
A,-0.227387,A026
A,0.47712,A027
A,0.259819,A028
A,1.110589,A029
A,0.006806,A030
A,-0.828816,A031
A,0.279318,A032
A,0.098175,A033
A,-0.205706,A034
A,-0.176932,A035
A,-0.711899,A036
A,-0.047469,A037
A,0.309569,A038
A,0.110494,A039
A,-0.342134,A040
A,0.358273,A041
A,-0.456805,A042
A,-0.396779,A043
A,0.322121,A044
A,1.174664,A045
A,0.536002,A046
A,-1.383893,A047
A,0.426273,A048
A,-0.461928,A049
A,0.163317,A050
A,0.08578,A051
A,0.563724,A052
A,0.461986,A053
A,-0.183303,A054
A,-0.199271,A055
A,-0.36493,A056
A,-0.490597,A057
A,-0.511959,A058
A,0.70622,A059
A,-0.334682,A060
A,0.187915,A061
A,-0.584736,A062
A,1.213746,A063
A,0.143247,A064
A,-0.019741,A065
A,-0.116398,A066
A,1.096116,A067
A,0.498146,A068
A,-0.641556,A069
A,-0.28882,A070
A,-0.172789,A071
A,-0.450198,A072
A,0.703369,A073
A,-0.900658,A074
A,0.06485,A075
A,0.826901,A076
A,-0.784622,A077
A,0.002252,A078
A,0.09553,A079
B,1.18018,B000
B,0.911117,B001
B,0.920404,B002
B,0.837321,B003
B,1.40208,B004
B,1.00719,B005
B,1.596646,B006
B,0.423702,B007
B,1.015399,B008
B,1.070942,B009
B,1.65496,B010
B,1.302963,B011
B,1.125904,B012
B,0.904229,B013
B,1.766446,B014
B,0.866703,B015
B,1.537827,B016
B,-0.157138,B017
B,1.099386,B018
B,1.076667,B019
B,1.05122,B020
B,2.037427,B021
B,1.064418,B022
B,1.727024,B023
B,-0.517961,B024
B,0.761507,B025
B,0.692351,B026
B,1.163955,B027
B,1.52922,B028
B,0.502564,B029
B,1.113742,B030
B,1.575286,B031
B,0.910142,B032
B,0.886535,B033
B,0.975829,B034
B,1.038904,B035
B,0.460625,B036
B,1.351497,B037
B,1.761156,B038
B,1.27041,B039
B,1.387897,B040
B,1.001115,B041
B,1.172659,B042
B,1.184445,B043
B,0.568209,B044
B,0.863391,B045
B,1.685422,B046
B,1.17207,B047
B,1.180043,B048
B,1.113315,B049
B,1.918697,B050
B,0.355353,B051
B,2.456269,B052
B,1.43441,B053
B,1.892661,B054
B,0.498239,B055
B,1.892388,B056
B,1.524372,B057
B,1.530084,B058
B,0.710694,B059
B,1.135535,B060
B,1.341133,B061
B,2.001228,B062
B,0.762979,B063
B,1.825196,B064
B,1.186867,B065
B,0.336026,B066
B,0.700992,B067
B,0.693575,B068
B,1.488079,B069
B,0.967109,B070
B,1.280907,B071
B,1.255776,B072
B,1.107199,B073
B,0.867383,B074
B,1.315483,B075
B,0.230476,B076
B,1.67764,B077
B,0.667302,B078
B,0.703956,B079
