group,confounder,value,row_id
A,1,1.742066,R000
B,1,2.576403,R001
B,1,2.646054,R002
B,1,2.526009,R003
B,1,2.921422,R004
B,1,2.641033,R005
A,1,1.670396,R006
A,1,3.103464,R007
B,1,2.654664,R008
B,1,1.661195,R009
B,1,2.884741,R010
A,1,2.052522,R011
B,1,2.291099,R012
B,1,3.348349,R013
B,1,1.988237,R014
A,1,2.778091,R015
B,1,2.889184,R016
A,1,2.830842,R017
B,1,2.070723,R018
B,1,3.389363,R019
A,1,3.68545,R020
B,1,2.376034,R021
B,1,2.573543,R022
B,1,2.773673,R023
B,1,2.918743,R024
B,1,3.018687,R025
B,1,2.325129,R026
A,1,2.700192,R027
B,1,1.75002,R028
B,1,2.261627,R029
B,1,3.020211,R030
A,1,2.333547,R031
B,1,2.423558,R032
B,1,2.324173,R033
B,1,2.370605,R034
B,1,2.171992,R035
B,1,2.49511,R036
B,1,2.658918,R037
B,1,2.450146,R038
B,1,2.662155,R039
B,1,2.275639,R040
A,1,2.851649,R041
B,1,1.945421,R042
B,1,3.00109,R043
B,1,2.022358,R044
A,1,2.789923,R045
B,1,3.272523,R046
A,1,2.428722,R047
A,1,2.490551,R048
B,1,2.076658,R049
B,1,2.961436,R050
B,1,2.740858,R051
B,1,2.514208,R052
B,1,2.496995,R053
B,1,2.16548,R054
B,1,2.123188,R055
B,1,2.685426,R056
B,1,2.851823,R057
B,1,2.26023,R058
B,1,2.041385,R059
B,1,2.438037,R060
B,1,2.570601,R061
B,1,2.263896,R062
B,1,2.972613,R063
B,1,2.008402,R064
A,1,2.41702,R065
B,1,2.510917,R066
B,1,1.966999,R067
A,1,3.455061,R068
B,1,3.284882,R069
B,1,1.934622,R070
B,1,3.250561,R071
B,1,2.912736,R072
B,1,3.20244,R073
B,1,2.094321,R074
B,1,2.298648,R075
A,1,1.933396,R076
B,1,2.704117,R077
B,1,3.11139,R078
B,1,2.063066,R079
B,1,1.376323,R080
B,1,2.839795,R081
B,1,2.599715,R082
A,1,2.865736,R083
B,1,2.521654,R084
B,1,2.231324,R085
B,1,3.100845,R086
B,1,2.635767,R087
B,1,3.129234,R088
B,1,3.103126,R089
B,1,2.443392,R090
B,1,2.771046,R091
A,1,1.727105,R092
B,1,2.318306,R093
B,1,2.753126,R094
B,1,2.615271,R095
B,1,2.620781,R096
B,1,2.69929,R097
B,1,2.662167,R098
B,1,2.263815,R099
B,1,2.083736,R100
B,1,2.054898,R101
B,1,1.721888,R102
B,1,2.278724,R103
A,1,2.812105,R104
B,1,2.037915,R105
B,1,2.464665,R106
B,1,2.434929,R107
B,1,2.436833,R108
A,1,1.805094,R109
B,1,2.931758,R110
A,1,2.444443,R111
B,1,1.799412,R112
B,1,2.097865,R113
B,1,2.436291,R114
A,1,2.388351,R115
B,1,1.978682,R116
B,1,2.170507,R117
B,1,1.741044,R118
B,1,1.908596,R119
A,0,0.160111,R120
A,0,-0.308271,R121
A,0,-0.190995,R122
A,0,0.119587,R123
A,0,-0.788522,R124
A,0,0.742296,R125
A,0,-0.447223,R126
A,0,-0.055582,R127
A,0,-0.348443,R128
A,0,-0.83384,R129
A,0,0.009367,R130
A,0,-0.37145,R131
A,0,-0.139062,R132
A,0,0.256732,R133
A,0,-0.239364,R134
A,0,0.687192,R135
A,0,1.067477,R136
A,0,0.416955,R137
A,0,0.064294,R138
A,0,-0.993534,R139
A,0,-0.342013,R140
A,0,0.40078,R141
A,0,0.212516,R142
A,0,0.579239,R143
A,0,-0.303371,R144
A,0,0.214868,R145
A,0,-0.1914,R146
A,0,0.387824,R147
A,0,-0.399745,R148
A,0,-0.534424,R149
A,0,-0.516162,R150
A,0,-0.190707,R151
A,0,0.162176,R152
A,0,0.000413,R153
A,0,0.169123,R154
A,0,-0.390631,R155
A,0,-0.118502,R156
B,0,0.522314,R157
A,0,-0.562511,R158
A,0,0.169178,R159
A,0,0.066063,R160
A,0,-0.687025,R161
A,0,0.484643,R162
A,0,-0.573361,R163
A,0,-0.407526,R164
A,0,-0.205017,R165
A,0,0.349338,R166
B,0,-0.513278,R167
A,0,0.317336,R168
A,0,-0.242349,R169
A,0,-0.130565,R170
A,0,0.585505,R171
A,0,-0.511044,R172
A,0,-0.20249,R173
A,0,0.546606,R174
A,0,-0.792908,R175
A,0,-0.016823,R176
A,0,0.503298,R177
A,0,0.661727,R178
A,0,0.210219,R179
A,0,-0.052868,R180
A,0,-0.549293,R181
B,0,0.455286,R182
A,0,-0.086977,R183
A,0,-0.339051,R184
A,0,-1.150548,R185
A,0,-0.242629,R186
A,0,-0.500213,R187
A,0,-0.210188,R188
A,0,0.544268,R189
A,0,-0.405023,R190
A,0,-0.281873,R191
B,0,-0.006653,R192
A,0,0.046704,R193
A,0,0.705136,R194
A,0,-0.121579,R195
A,0,0.438324,R196
A,0,-0.383903,R197
A,0,0.181028,R198
A,0,0.644493,R199
B,0,-0.131918,R200
A,0,0.273556,R201
A,0,0.720219,R202
A,0,0.241195,R203
A,0,-0.317747,R204
A,0,0.482272,R205
A,0,-0.510511,R206
A,0,-0.478879,R207
A,0,0.464701,R208
A,0,-0.147042,R209
B,0,-0.242897,R210
A,0,0.820815,R211
A,0,-0.408442,R212
A,0,0.472537,R213
A,0,0.637465,R214
A,0,-0.045921,R215
A,0,-0.416178,R216
A,0,-0.189421,R217
A,0,0.028533,R218
A,0,0.083417,R219
A,0,0.094167,R220
A,0,0.176626,R221
A,0,-0.043264,R222
A,0,0.568334,R223
A,0,-0.820771,R224
A,0,-0.153234,R225
A,0,-0.360541,R226
A,0,0.718367,R227
A,0,-0.293331,R228
A,0,0.29942,R229
A,0,0.322381,R230
A,0,-0.129488,R231
A,0,-0.559187,R232
B,0,-0.81552,R233
A,0,-0.007815,R234
A,0,-0.904196,R235
B,0,-0.206084,R236
A,0,0.127277,R237
A,0,-0.378424,R238
A,0,-0.836474,R239
