x,target,target_leak,row_id
-2.047105,0,0,R000
-1.138147,0,0,R001
-0.140886,1,1,R002
0.066116,1,1,R003
1.1376,1,1,R004
0.344558,1,1,R005
0.216096,1,1,R006
-0.463922,0,0,R007
-1.723494,0,0,R008
1.148487,1,1,R009
-0.822686,0,0,R010
-0.05185,1,1,R011
-0.957948,0,0,R012
-0.367072,0,0,R013
0.176493,1,1,R014
0.47761,1,1,R015
-1.095605,0,0,R016
-0.521017,0,0,R017
-0.179952,0,0,R018
0.575989,1,1,R019
0.065957,0,0,R020
2.301076,1,1,R021
-0.13961,0,0,R022
-0.789112,0,0,R023
0.631895,1,1,R024
1.200935,1,1,R025
-0.133943,0,0,R026
-0.457822,0,0,R027
-1.496644,0,0,R028
1.119867,1,1,R029
-0.235229,1,1,R030
0.104195,1,1,R031
1.258497,1,1,R032
-0.684441,0,0,R033
-1.07458,0,0,R034
-0.232648,0,0,R035
-1.001282,0,0,R036
-0.252102,0,0,R037
0.401657,0,0,R038
-0.466851,1,1,R039
0.71177,1,1,R040
-0.5564,0,0,R041
-0.713072,0,0,R042
0.15937,1,1,R043
0.681514,1,1,R044
-0.554822,0,0,R045
0.85502,1,1,R046
-0.698917,0,0,R047
0.446027,1,1,R048
0.632589,1,1,R049
1.677382,1,1,R050
0.207805,0,0,R051
-0.001384,1,1,R052
-0.032215,1,1,R053
1.120898,1,1,R054
0.016375,1,1,R055
-0.185238,0,0,R056
2.651433,1,1,R057
-0.356123,0,0,R058
0.640096,1,1,R059
-1.095191,0,0,R060
0.071161,1,1,R061
-0.877946,0,0,R062
-2.413384,0,0,R063
1.35493,1,1,R064
0.555829,1,1,R065
-0.278953,0,0,R066
0.972414,1,1,R067
1.068183,1,1,R068
-0.678207,0,0,R069
0.085387,0,0,R070
-0.629021,0,0,R071
-2.03735,0,0,R072
-0.508534,0,0,R073
1.684446,1,1,R074
1.49085,1,1,R075
0.552922,1,1,R076
0.017991,0,0,R077
-0.975936,0,0,R078
0.129688,0,0,R079
-0.348158,0,0,R080
-0.581386,0,0,R081
-0.034416,0,0,R082
2.259781,1,1,R083
0.824496,1,1,R084
-0.395429,0,0,R085
-1.057944,0,0,R086
-0.602457,0,0,R087
0.939027,1,1,R088
-0.491373,1,1,R089
-1.208603,0,0,R090
0.545159,1,1,R091
-0.365126,0,0,R092
-0.972199,0,0,R093
0.311009,0,0,R094
1.378748,1,1,R095
0.94201,0,0,R096
1.312151,1,1,R097
-0.388666,0,0,R098
1.427752,1,1,R099
-1.402592,0,0,R100
-1.107356,0,0,R101
0.318125,1,1,R102
-0.839083,0,0,R103
-2.039579,0,0,R104
0.106155,0,0,R105
0.414601,0,0,R106
0.99498,1,1,R107
0.726407,1,1,R108
-1.796604,0,0,R109
1.08141,1,1,R110
1.610276,1,1,R111
-1.1598,0,0,R112
0.898963,1,1,R113
-0.158793,0,0,R114
0.30303,1,1,R115
0.147905,1,1,R116
0.608415,1,1,R117
0.86255,1,1,R118
-0.384592,0,0,R119
1.05144,1,1,R120
1.548697,1,1,R121
-0.628747,0,0,R122
0.413383,1,1,R123
-0.06989,0,0,R124
-0.11693,0,0,R125
0.830366,1,1,R126
0.554744,0,0,R127
1.411175,1,1,R128
-0.985242,0,0,R129
-0.694325,0,0,R130
0.555115,1,1,R131
-1.081387,0,0,R132
0.082266,0,0,R133
-0.636718,0,0,R134
-0.235044,1,1,R135
0.970166,1,1,R136
-0.888375,0,0,R137
-0.576096,0,0,R138
0.423414,1,1,R139
0.997949,1,1,R140
-0.124962,1,1,R141
0.307605,1,1,R142
-0.661015,0,0,R143
-1.256903,0,0,R144
-1.453624,0,0,R145
-1.420265,0,0,R146
0.825929,1,1,R147
0.046852,1,1,R148
-0.268388,0,0,R149
-0.157639,1,1,R150
0.186319,0,0,R151
0.111914,0,0,R152
-0.028787,0,0,R153
1.297259,1,1,R154
-0.573308,0,0,R155
0.712672,1,1,R156
-0.187211,0,0,R157
-2.767833,0,0,R158
-0.771151,0,0,R159
