group,value,row_id
A,-0.484613,A000
A,0.051844,A001
A,1.137415,A002
A,-1.321531,A003
A,-0.54472,A004
A,0.51744,A005
A,0.12126,A006
A,0.499964,A007
A,0.030688,A008
A,0.489563,A009
A,-0.054293,A010
A,0.053685,A011
A,-0.238092,A012
A,-1.097235,A013
A,0.378835,A014
A,0.049192,A015
A,-0.336751,A016
A,-0.906755,A017
A,-0.581118,A018
A,0.069456,A019
A,-0.567984,A020
A,0.146529,A021
A,0.019414,A022
A,0.486393,A023
A,0.747341,A024
A,0.636837,A025
A,-0.331609,A026
A,0.445621,A027
A,-1.904452,A028
A,-0.171564,A029
A,-0.668635,A030
A,-0.481548,A031
A,-0.52949,A032
A,0.958518,A033
A,-0.604557,A034
A,0.722896,A035
A,-0.686499,A036
A,-0.293974,A037
A,0.068347,A038
A,-0.132129,A039
A,-0.101354,A040
A,1.21092,A041
A,0.526266,A042
A,0.25595,A043
A,1.549132,A044
A,-0.861531,A045
A,-0.851313,A046
A,-0.291707,A047
A,0.103677,A048
A,0.42792,A049
A,0.255917,A050
A,0.129399,A051
A,-0.534365,A052
A,0.135001,A053
A,-0.292223,A054
A,0.445173,A055
A,-0.702119,A056
A,0.207942,A057
A,0.301931,A058
A,0.025268,A059
A,0.710712,A060
A,-0.58622,A061
A,-0.897443,A062
A,-0.650103,A063
A,-0.715594,A064
A,-0.90545,A065
A,0.068067,A066
A,0.163747,A067
A,-0.778357,A068
A,-0.125088,A069
A,-0.134418,A070
A,-0.537577,A071
A,0.972722,A072
A,-0.249937,A073
A,-0.155422,A074
A,0.80136,A075
A,-0.083996,A076
A,0.635192,A077
A,-0.004474,A078
A,-0.45857,A079
B,,B000
B,,B001
B,,B002
B,,B003
B,,B004
B,,B005
B,,B006
B,,B007
B,,B008
B,,B009
B,,B010
B,,B011
B,,B012
B,,B013
B,,B014
B,,B015
B,,B016
B,,B017
B,,B018
B,,B019
B,,B020
B,,B021
B,,B022
B,,B023
B,,B024
B,,B025
B,,B026
B,,B027
B,,B028
B,,B029
B,1.537235,B030
B,0.179679,B031
B,2.165652,B032
B,0.807311,B033
B,1.453477,B034
B,0.697758,B035
B,0.939085,B036
B,1.175468,B037
B,0.967403,B038
B,1.504108,B039
B,1.903963,B040
B,0.066279,B041
B,1.496901,B042
B,1.849477,B043
B,1.275476,B044
B,1.078597,B045
B,0.305168,B046
B,1.47533,B047
B,1.676283,B048
B,0.669677,B049
B,0.959453,B050
B,0.533902,B051
B,0.476451,B052
B,1.182611,B053
B,2.261814,B054
B,1.614214,B055
B,2.046917,B056
B,0.715781,B057
B,0.966061,B058
B,1.898415,B059
B,0.542907,B060
B,0.137796,B061
B,0.085954,B062
B,1.603483,B063
B,-0.072661,B064
B,0.014743,B065
B,0.770169,B066
B,-0.799986,B067
B,1.774688,B068
B,-0.396681,B069
B,0.966375,B070
B,1.043984,B071
B,0.908348,B072
B,0.66975,B073
B,1.007853,B074
B,0.711391,B075
B,0.590478,B076
B,0.323629,B077
B,0.191882,B078
B,0.684058,B079
