group,value,row_id
A,0.61539,A000
A,-0.599312,A001
A,0.250063,A002
A,-0.335013,A003
A,-1.101896,A004
A,-0.014008,A005
A,0.097682,A006
A,-0.808455,A007
A,1.29206,A008
A,-0.017074,A009
A,-1.126358,A010
A,-0.239765,A011
A,-0.280886,A012
A,0.253146,A013
A,0.156326,A014
A,-0.483277,A015
A,1.798201,A016
A,0.79931,A017
A,-0.031562,A018
A,0.68645,A019
A,0.045176,A020
A,-0.092739,A021
A,0.187701,A022
A,0.619276,A023
A,-0.9541,A024
A,0.562933,A025
A,-0.496196,A026
A,0.516859,A027
A,-0.870117,A028
A,0.569657,A029
A,0.09005,A030
A,0.686971,A031
A,0.049869,A032
A,-0.244584,A033
A,0.950249,A034
A,-0.136345,A035
A,-0.955593,A036
A,-0.037997,A037
A,0.263316,A038
A,-1.237304,A039
A,0.509301,A040
A,1.210021,A041
A,0.316414,A042
A,-0.703266,A043
A,-0.520805,A044
A,-1.430617,A045
A,-0.155138,A046
A,-0.09133,A047
A,-0.098635,A048
A,0.505121,A049
A,-0.616963,A050
A,-0.394005,A051
A,-0.987718,A052
A,1.130067,A053
A,-0.24294,A054
A,-0.086337,A055
A,0.38637,A056
A,0.979564,A057
A,1.150385,A058
A,-0.274613,A059
A,0.0404,A060
A,-0.434179,A061
A,-0.371845,A062
A,0.904981,A063
A,-0.178628,A064
A,-0.758627,A065
A,1.28881,A066
A,0.970041,A067
A,-0.995505,A068
A,0.213508,A069
A,-0.854603,A070
A,-0.237183,A071
A,-1.081657,A072
A,0.354998,A073
A,0.195459,A074
A,-0.765249,A075
A,-0.729266,A076
A,-0.432693,A077
A,-0.052646,A078
A,0.220652,A079
B,-0.744671,B000
B,-0.565226,B001
B,-0.047913,B002
B,-0.126779,B003
B,-0.734655,B004
B,0.31236,B005
B,-0.688816,B006
B,-0.579936,B007
B,-0.864106,B008
B,0.422139,B009
B,-0.163431,B010
B,0.99293,B011
B,-0.899252,B012
B,-0.212894,B013
B,-0.025202,B014
B,-0.008872,B015
B,0.08415,B016
B,-0.753547,B017
B,-0.544283,B018
B,-0.513396,B019
B,0.066237,B020
B,1.115542,B021
B,0.748699,B022
B,-0.14948,B023
B,0.733673,B024
B,-0.843228,B025
B,0.291062,B026
B,0.065811,B027
B,-0.13727,B028
B,0.927451,B029
B,-0.90956,B030
B,0.072436,B031
B,0.539777,B032
B,-0.282192,B033
B,0.275446,B034
B,-0.240345,B035
B,0.013105,B036
B,0.195717,B037
B,0.337903,B038
B,1.057773,B039
B,-0.228259,B040
B,-0.992505,B041
B,0.511698,B042
B,-0.260057,B043
B,0.268973,B044
B,0.067525,B045
B,0.189555,B046
B,0.101957,B047
B,-1.162116,B048
B,-1.345457,B049
B,0.975974,B050
B,0.974804,B051
B,0.43757,B052
B,0.058718,B053
B,-0.663655,B054
B,-0.396995,B055
B,-0.962487,B056
B,0.512612,B057
B,0.68162,B058
B,0.320835,B059
B,-0.812946,B060
B,0.204342,B061
B,0.096201,B062
B,-0.161386,B063
B,-0.113069,B064
B,0.286663,B065
B,0.562495,B066
B,-0.851411,B067
B,1.464389,B068
B,0.014719,B069
B,0.50299,B070
B,-0.057305,B071
B,-0.369884,B072
B,-0.144391,B073
B,0.220352,B074
B,-1.339589,B075
B,-0.667917,B076
B,0.722805,B077
B,-0.013182,B078
B,-0.185769,B079
