group,value,row_id
A,0.251958,R000
A,0.973294,R001
A,-0.082437,R002
A,0.380339,R003
A,0.034587,R004
A,-0.614392,R005
A,0.179531,R006
A,0.31585,R007
A,-0.564593,R008
A,0.405011,R009
A,-0.688903,R010
A,0.646116,R011
A,0.827668,R012
A,-0.324563,R013
A,0.070609,R014
A,0.093991,R015
A,-0.431156,R016
A,-0.939065,R017
A,0.882883,R018
A,0.054391,R019
A,-0.963818,R020
A,0.384541,R021
A,0.050506,R022
A,0.237265,R023
A,-0.360981,R024
A,0.084041,R025
A,0.305731,R026
A,0.882358,R027
A,0.53852,R028
A,0.196332,R029
A,0.097559,R030
A,0.270625,R031
A,-0.341077,R032
A,-0.010958,R033
A,0.677162,R034
A,-0.237634,R035
A,-0.160186,R036
A,0.064427,R037
A,-0.575316,R038
A,0.119378,R039
B,1.1552,R040
B,0.900689,R041
B,1.625816,R042
B,-0.160397,R043
B,1.189723,R044
B,0.847846,R045
B,0.633319,R046
B,0.700525,R047
B,0.72848,R048
B,-0.08066,R049
B,1.291737,R050
B,0.807283,R051
B,1.684911,R052
B,1.108311,R053
B,0.465033,R054
B,0.505622,R055
B,0.438768,R056
B,0.677839,R057
B,0.476483,R058
B,-0.529371,R059
B,1.099353,R060
B,0.832719,R061
B,1.439978,R062
B,-0.013445,R063
B,0.358313,R064
B,0.853255,R065
B,1.542891,R066
B,0.887556,R067
B,1.960007,R068
B,0.808298,R069
B,0.779181,R070
B,1.982606,R071
B,1.005658,R072
B,1.071581,R073
B,0.32375,R074
B,1.226802,R075
B,-0.225155,R076
B,0.864711,R077
B,0.884097,R078
B,0.929248,R079
