arm,measurement,row_id
A,-0.442234,R000
A,0.622037,R001
A,0.182466,R002
A,0.40452,R003
A,-0.729813,R004
A,-0.787958,R005
A,-0.017893,R006
A,0.207576,R007
A,0.462498,R008
A,-0.095122,R009
A,0.249445,R010
A,-0.711192,R011
A,-0.442532,R012
A,-0.476954,R013
A,0.710787,R014
A,-0.36181,R015
A,-0.644529,R016
A,0.188961,R017
A,-0.031124,R018
A,0.216012,R019
A,-0.800583,R020
A,0.170122,R021
A,0.148041,R022
A,0.67234,R023
A,-0.415613,R024
A,-0.146212,R025
A,0.505755,R026
A,-0.043292,R027
A,0.777167,R028
A,-0.097003,R029
A,0.002637,R030
A,0.153182,R031
A,0.12948,R032
A,0.168258,R033
A,0.15289,R034
A,0.085095,R035
A,0.68338,R036
A,0.238384,R037
A,0.751404,R038
A,0.051412,R039
B,0.768978,R040
B,0.628143,R041
B,0.476317,R042
B,0.808691,R043
B,1.150225,R044
B,-0.008167,R045
B,1.557095,R046
B,1.244338,R047
B,0.346529,R048
B,0.585467,R049
B,-0.119837,R050
B,1.084703,R051
B,0.721872,R052
B,0.471782,R053
B,0.679206,R054
B,0.099151,R055
B,0.48941,R056
B,1.356276,R057
B,0.61702,R058
B,0.502511,R059
B,0.919294,R060
B,1.028337,R061
B,0.593332,R062
B,0.293293,R063
B,1.075385,R064
B,1.228888,R065
B,1.222802,R066
B,0.320298,R067
B,0.317331,R068
B,0.168928,R069
B,0.301787,R070
B,0.009157,R071
B,0.783211,R072
B,1.627757,R073
B,0.804966,R074
B,0.122078,R075
B,1.28542,R076
B,1.007324,R077
B,0.938823,R078
B,0.555106,R079
