group,value,row_id
A,-1.689302,A000
A,-0.455298,A001
A,0.663378,A002
A,-1.414669,A003
A,1.162303,A004
A,0.262085,A005
A,0.280364,A006
A,0.708265,A007
A,-1.08914,A008
A,-0.4594,A009
A,-0.179674,A010
A,0.267667,A011
A,0.516502,A012
A,0.786113,A013
A,0.960725,A014
A,0.406769,A015
A,-0.044092,A016
A,-0.073065,A017
A,0.921341,A018
A,-0.485527,A019
A,1.235492,A020
A,0.73651,A021
A,-0.682321,A022
A,0.155026,A023
A,0.254121,A024
A,1.024195,A025
A,1.011889,A026
A,-0.599343,A027
A,-0.43344,A028
A,0.058701,A029
A,0.400591,A030
A,-0.544957,A031
A,-0.883011,A032
A,-0.402713,A033
A,-0.104585,A034
A,-0.040435,A035
A,0.511813,A036
A,-0.200471,A037
A,1.18312,A038
A,-0.671527,A039
A,-0.575114,A040
A,0.526421,A041
A,0.233192,A042
A,0.235559,A043
A,-0.04605,A044
A,-0.240469,A045
A,-0.057991,A046
A,0.086817,A047
A,1.099442,A048
A,-0.240162,A049
A,-0.902245,A050
A,-0.076905,A051
A,0.327078,A052
A,-0.083517,A053
A,-0.26168,A054
A,0.54684,A055
A,-1.163891,A056
A,-0.114189,A057
A,-1.659681,A058
A,-1.197797,A059
B,2.204362,B000
B,2.2014,B001
B,0.820546,B002
B,0.848069,B003
B,0.341783,B004
B,0.723022,B005
B,1.386031,B006
B,0.929112,B007
B,1.460193,B008
B,0.449135,B009
B,0.718038,B010
B,1.598417,B011
B,1.341948,B012
B,1.151576,B013
B,0.672737,B014
B,0.385976,B015
B,2.037951,B016
B,1.473783,B017
B,1.665349,B018
B,0.301793,B019
B,1.629464,B020
B,0.056653,B021
B,1.214459,B022
B,0.929665,B023
B,1.155181,B024
B,2.350715,B025
B,0.655816,B026
B,1.045481,B027
B,1.536221,B028
B,0.001348,B029
B,-0.185928,B030
B,0.510357,B031
B,0.433255,B032
B,1.193158,B033
B,0.961602,B034
B,-0.160367,B035
B,1.374794,B036
B,1.258752,B037
B,1.294358,B038
B,1.30646,B039
B,0.783542,B040
B,1.096291,B041
B,1.927015,B042
B,0.988493,B043
B,1.106966,B044
B,1.490004,B045
B,1.322128,B046
B,1.548791,B047
B,0.952915,B048
B,-0.206626,B049
B,0.929602,B050
B,0.580283,B051
B,1.453767,B052
B,0.620074,B053
B,0.41918,B054
B,0.081341,B055
B,0.691019,B056
B,1.550068,B057
B,2.230459,B058
B,0.767013,B059
